,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,1,1,11,11
Reserves,142,137,244,608,642
Borrowings +,54,144,117,18,19
Other Liabilities +,87,116,78,140,124
Total Liabilities,285,397,440,777,795
Fixed Assets +,106,216,168,222,214
CWIP,-0,-0,-0,-0,-0
Investments,41,45,129,165,155
Other Assets +,138,136,143,390,425
Total Assets,285,397,440,777,795
