,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,122,122,123,185,186,"1,499","1,334","1,186","1,257","1,685","1,405",497,281
Reserves,"24,929","29,264","33,737","37,526","40,723","43,994","49,877","54,466","61,941","66,442","75,588","82,127","81,554"
Borrowings +,"37,216","51,568","63,144","80,846","93,630","86,822","92,807","106,619","124,579","141,770","133,505","125,292","129,071"
Other Liabilities +,"32,447","38,228","45,924","50,324","58,727","63,088","68,700","81,874","91,236","98,194","100,721","111,310","111,888"
Total Liabilities,"94,713","119,182","142,928","168,881","193,266","194,091","211,571","243,240","278,036","306,687","310,095","319,010","322,794"
Fixed Assets +,"15,624","19,403","30,389","32,397","34,738","14,176","16,677","18,580","21,194","43,653","44,319","42,737","42,163"
CWIP,"12,362","14,913","11,351","14,179","14,993","10,974","13,298","13,443","13,919","3,311",500,"1,250","2,212"
Investments,"9,216","8,789","8,768","8,109","9,612","15,465","19,753","15,311","20,907","20,047","39,627","39,603","38,992"
Other Assets +,"57,511","76,076","92,421","114,197","133,923","153,475","161,843","195,905","222,016","239,675","225,649","235,420","239,427"
Total Assets,"94,713","119,182","142,928","168,881","193,266","194,091","211,571","243,240","278,036","306,687","310,095","319,010","322,794"
