,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Sales +,313,331,617,"1,044",400,305,414,471,340,14
Expenses +,304,331,578,978,411,376,495,470,439,26
Operating Profit,10,-0,39,66,-11,-71,-80,1,-99,-12
OPM %,3%,-0%,6%,6%,-3%,-23%,-19%,0%,-29%,-83%
Other Income +,31,20,10,-2,-6,-14,5,49,-358,-21
Interest,13,21,43,134,185,141,158,215,335,206
Depreciation,10,14,22,62,92,103,91,92,48,89
Profit before tax,17,-15,-16,-132,-293,-329,-324,-256,-840,-328
Tax %,23%,30%,30%,30%,28%,37%,21%,36%,0%,0%
Net Profit,13,-11,-11,-93,-212,-208,-255,-163,-840,-328
EPS in Rs,1.00,-0.79,-0.85,-6.90,-15.78,-15.48,-19.00,-12.18,-62.58,-24.44
