,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,14,14,14,14,14,14,14
Reserves,128,169,198,212,245,269,358,438,467,433,517,530,596
Borrowings +,3,2,27,52,43,38,35,11,70,95,98,165,190
Other Liabilities +,140,162,194,196,179,218,218,396,379,319,360,430,482
Total Liabilities,284,347,433,473,481,538,624,858,929,860,990,"1,139","1,282"
Fixed Assets +,88,90,163,229,222,229,248,273,307,355,381,409,411
CWIP,3,22,38,6,7,5,14,12,22,21,9,12,32
Investments,19,19,19,19,19,22,85,142,120,62,131,122,211
Other Assets +,174,216,213,219,233,282,277,430,479,422,469,595,628
Total Assets,284,347,433,473,481,538,624,858,929,860,990,"1,139","1,282"
