,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,521,"1,387","1,322","1,617","1,268","1,130"
Expenses +,464,"1,174","1,062","1,231","1,188","1,173"
Operating Profit,57,213,260,386,81,-43
OPM %,11%,15%,20%,24%,6%,-4%
Other Income +,2,12,27,29,16,19
Interest,25,82,78,84,75,84
Depreciation,34,83,94,109,112,113
Profit before tax,0,60,115,222,-91,-221
Tax %,-70%,1%,0%,0%,36%,
Net Profit,0,59,115,221,-58,-165
EPS in Rs,,23.09,42.68,61.62,-16.15,-45.72
