,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,17,13,27,48,44,50,50,50,50,50
Reserves,10,37,73,126,295,618,724,750,182,-907
Borrowings +,8,23,31,106,487,746,"1,357","2,180","3,624","4,996"
Other Liabilities +,54,113,268,506,782,"1,441","2,010","2,051","1,586","1,626"
Total Liabilities,74,186,398,765,"1,608","2,855","4,141","5,032","5,443","5,765"
Fixed Assets +,11,28,36,35,115,160,275,321,308,282
CWIP,0,5,22,55,11,38,34,50,71,71
Investments,0,0,0,0,3,8,0,0,0,0
Other Assets +,63,152,341,675,"1,478","2,650","3,833","4,661","5,063","5,412"
Total Assets,74,186,398,765,"1,608","2,855","4,141","5,032","5,443","5,765"
