,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,27,27,27,27,6,6
Reserves,414,516,599,694,764,865,"1,009","1,047"
Borrowings +,67,102,75,70,91,79,45,44
Other Liabilities +,316,320,364,420,358,427,491,395
Total Liabilities,804,945,"1,045","1,191","1,219","1,378","1,552","1,493"
Fixed Assets +,230,345,360,385,439,415,337,333
CWIP,65,0,5,20,1,1,1,4
Investments,47,91,109,178,228,474,562,572
Other Assets +,461,509,572,608,552,487,652,583
Total Assets,804,945,"1,045","1,191","1,219","1,378","1,552","1,493"
