,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,13,13,12,12,12,12
Reserves,330,501,740,913,"1,001",999,994,947,"1,232","1,269","1,499"
Borrowings +,3,1,1,2,5,3,7,6,2,1,1
Other Liabilities +,520,512,403,432,509,449,536,612,714,596,533
Total Liabilities,868,"1,028","1,158","1,361","1,528","1,465","1,550","1,577","1,960","1,877","2,044"
Fixed Assets +,137,144,161,202,200,189,240,250,246,242,238
CWIP,8,12,62,20,34,37,38,18,31,43,63
Investments,132,278,295,506,657,623,510,384,599,517,556
Other Assets +,590,595,641,633,637,615,763,925,"1,085","1,075","1,186"
Total Assets,868,"1,028","1,158","1,361","1,528","1,465","1,550","1,577","1,960","1,877","2,044"
