,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,21,21,21,21,21,21,21,21,21,21,42,42
Reserves,978,"1,128","1,215","1,431","1,054","1,168","1,316","1,499","1,623","1,699","2,064","7,767","8,405"
Borrowings +,151,733,551,634,641,838,662,586,592,605,"1,180",308,"1,378"
Other Liabilities +,211,261,280,343,358,410,442,515,719,"1,720","1,077","1,568","1,777"
Total Liabilities,"1,360","2,142","2,066","2,430","2,073","2,436","2,440","2,620","2,955","4,045","4,342","9,685","11,602"
Fixed Assets +,376,888,942,"1,088",772,936,949,919,"1,033","1,733","1,578",996,"2,127"
CWIP,0,0,4,2,4,14,32,1,5,5,3,3,7
Investments,5,6,8,7,9,10,5,11,15,10,5,"2,470","2,668"
Other Assets +,979,"1,247","1,113","1,332","1,289","1,476","1,454","1,689","1,902","2,297","2,756","6,217","6,800"
Total Assets,"1,360","2,142","2,066","2,430","2,073","2,436","2,440","2,620","2,955","4,045","4,342","9,685","11,602"
