,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,700,"1,637","2,498","2,881"
Expenses +,595,"1,353","2,119","2,459"
Operating Profit,105,283,379,422
OPM %,15%,17%,15%,15%
Other Income +,130,30,102,116
Interest,18,11,9,10
Depreciation,22,51,63,69
Profit before tax,194,252,409,460
Tax %,23%,26%,26%,
Net Profit,150,186,304,346
EPS in Rs,"29,914.00","37,296.00",11.97,13.60
