,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Share Capital +,66,66,66,66,13,153,170,189,15,15
Reserves,561,549,536,443,190,-6,-572,-736,"-1,263","-1,591"
Borrowings +,"1,576","1,639","1,753","1,337","1,281","1,226","1,158","1,175",470,529
Other Liabilities +,468,205,177,758,882,"1,120","1,717","1,945","2,665","2,808"
Total Liabilities,"2,619","2,407","2,479","2,551","2,366","2,354","2,316","2,398","1,886","1,760"
Fixed Assets +,380,376,"1,338","1,724","1,945","1,815","1,442","1,399","1,353","1,263"
CWIP,285,759,267,310,55,68,87,46,46,46
Investments,0,0,0,0,0,0,198,198,0,0
Other Assets +,"1,954","1,271",873,518,366,472,589,755,488,452
Total Assets,"2,619","2,407","2,479","2,551","2,366","2,354","2,316","2,398","1,886","1,760"
