,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9,18,35,70,70,70,70,70
Reserves,749,829,306,388,696,318,404,488,584,716
Borrowings +,873,"1,106",653,688,766,615,259,154,150,145
Other Liabilities +,"3,811","4,082","3,194","3,505","3,607","1,826","1,469","1,536","1,210","1,285"
Total Liabilities,"5,441","6,026","4,162","4,600","5,104","2,829","2,201","2,249","2,013","2,217"
Fixed Assets +,68,73,62,66,69,83,96,89,140,134
CWIP,2,2,4,2,10,23,29,52,0,0
Investments,0,0,0,3,9,14,11,14,21,20
Other Assets +,"5,371","5,951","4,096","4,529","5,015","2,708","2,065","2,093","1,853","2,062"
Total Assets,"5,441","6,026","4,162","4,600","5,104","2,829","2,201","2,249","2,013","2,217"
