,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,14,14,28,28,28,28
Reserves,24,57,67,56,66,77,81
Borrowings +,65,50,40,55,50,51,66
Other Liabilities +,18,21,21,31,35,33,27
Total Liabilities,112,142,142,170,179,189,202
Fixed Assets +,64,61,48,67,63,56,69
CWIP,0,0,0,0,0,4,0
Investments,0,1,3,2,3,2,3
Other Assets +,47,80,91,100,113,126,130
Total Assets,112,142,142,170,179,189,202
