,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,34,38,39,41,42,42,45,46,48,60,60,60,60
Reserves,534,784,805,675,553,476,486,507,540,581,544,541,586
Borrowings +,819,"1,013","1,240","1,355","1,413","1,457","1,242","1,083","1,148","1,031","1,005",953,916
Other Liabilities +,346,383,290,267,236,240,364,387,188,198,210,247,255
Total Liabilities,"1,733","2,218","2,374","2,339","2,244","2,215","2,138","2,023","1,924","1,870","1,818","1,801","1,817"
Fixed Assets +,547,910,"1,171","1,174","1,117","1,099","1,042",934,914,843,753,630,601
CWIP,315,294,161,78,113,78,70,69,20,11,19,10,14
Investments,48,19,17,17,18,18,18,18,19,17,36,29,30
Other Assets +,823,995,"1,025","1,070",997,"1,020","1,007","1,002",972,998,"1,011","1,131","1,172"
Total Assets,"1,733","2,218","2,374","2,339","2,244","2,215","2,138","2,023","1,924","1,870","1,818","1,801","1,817"
