,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,73,73,73,73,73,73,73,73,73,73,73,73,73
Reserves,"1,535","1,609","1,596","1,617","1,626","1,617","1,578","1,549","1,530","1,460","1,339","1,216","1,206"
Borrowings +,"1,270","1,847","1,722","1,767","1,780","1,605","1,758",987,881,696,765,679,887
Other Liabilities +,"1,103",906,"1,281","1,446","1,559","1,389","1,518","2,266","2,238","2,269","2,250","2,734","2,468"
Total Liabilities,"3,981","4,434","4,671","4,903","5,039","4,684","4,927","4,875","4,722","4,497","4,426","4,702","4,634"
Fixed Assets +,335,276,202,200,155,103,94,90,88,86,70,69,67
CWIP,110,12,12,12,13,14,10,12,14,17,17,17,17
Investments,357,252,330,368,286,"1,723","1,711","1,707","1,619","1,517","1,253","1,231","1,195"
Other Assets +,"3,179","3,894","4,128","4,323","4,585","2,844","3,112","3,066","3,001","2,877","3,087","3,385","3,355"
Total Assets,"3,981","4,434","4,671","4,903","5,039","4,684","4,927","4,875","4,722","4,497","4,426","4,702","4,634"
