,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,1,3,3,3,10,10,11,12,12
Reserves,25,35,40,50,74,103,133,161,189,206
Borrowings +,51,77,64,77,92,128,112,138,173,176
Other Liabilities +,23,22,30,56,66,49,25,16,23,19
Total Liabilities,100,135,137,186,234,291,281,326,396,412
Fixed Assets +,32,34,35,32,45,44,50,62,69,165
CWIP,0,0,0,1,0,2,2,32,92,6
Investments,0,0,1,1,1,1,1,2,1,1
Other Assets +,67,102,101,153,188,243,227,229,234,240
Total Assets,100,135,137,186,234,291,281,326,396,412
