,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,19,23,25,34,41,41,302,53,876,892
Reserves,114,155,432,"1,314",732,881,-359,-326,-396,204
Borrowings +,101,164,270,470,963,899,"1,405","1,745",31,100
Other Liabilities +,52,112,338,441,245,529,774,572,"1,314","1,021"
Total Liabilities,287,453,"1,065","2,259","1,980","2,350","1,872","2,044","1,825","2,216"
Fixed Assets +,28,86,106,438,458,456,438,671,560,507
CWIP,12,2,2,1,1,4,1,0,5,0
Investments,20,17,0,28,20,0,0,0,0,0
Other Assets +,226,348,957,"1,791","1,501","1,890","1,433","1,373","1,259","1,709"
Total Assets,287,453,"1,065","2,259","1,980","2,350","1,872","2,044","1,825","2,216"
