,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3.39,3.39,3.39,3.39,10.16,10.16
Reserves,6.16,11.79,14.21,15.44,10.96,12.36
Borrowings +,5.98,2.62,3.84,3.40,0.68,1.24
Other Liabilities +,4.89,8.08,5.29,6.45,5.81,5.24
Total Liabilities,20.42,25.88,26.73,28.68,27.61,29.00
Fixed Assets +,4.29,3.38,2.80,2.28,2.06,2.86
CWIP,0.00,0.00,0.00,0.14,0.82,1.37
Investments,0.02,0.04,0.10,0.07,0.11,0.09
Other Assets +,16.11,22.46,23.83,26.19,24.62,24.68
Total Assets,20.42,25.88,26.73,28.68,27.61,29.00
