,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,147","4,540","5,915","7,597","10,069","14,531","15,404","19,382","21,036"
Expenses +,"3,001","4,323","5,688","7,215","9,538","13,757","14,524","18,199","19,712"
Operating Profit,146,217,228,382,531,773,880,"1,183","1,324"
OPM %,5%,5%,4%,5%,5%,5%,6%,6%,6%
Other Income +,123,180,356,331,366,246,808,904,"1,003"
Interest,15,23,35,45,52,41,458,564,579
Depreciation,5,5,5,5,6,20,23,21,22
Profit before tax,248,370,543,664,839,958,"1,207","1,502","1,727"
Tax %,16%,19%,18%,14%,18%,21%,18%,21%,
Net Profit,337,429,443,570,688,757,992,"1,183","1,350"
EPS in Rs,1.62,2.06,2.13,2.73,3.30,3.63,4.76,5.67,6.48
