,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,8,8,8,9,9,9,9,9,9,9,9
Reserves,84,50,43,48,51,66,143,160,149,174,209,278,309
Borrowings +,124,151,155,148,140,128,82,80,82,100,87,80,76
Other Liabilities +,78,71,65,79,77,73,54,56,74,67,65,61,73
Total Liabilities,293,280,272,284,277,275,289,305,314,350,371,428,467
Fixed Assets +,119,134,124,121,122,117,124,126,123,116,133,144,145
CWIP,17,7,11,12,4,6,9,2,2,8,2,3,9
Investments,1,1,4,4,5,6,23,24,27,35,45,56,66
Other Assets +,157,139,134,147,146,146,133,153,162,191,191,225,247
Total Assets,293,280,272,284,277,275,289,305,314,350,371,428,467
