,Mar 2020,Mar 2021,Mar 2022
Share Capital +,27,27,27
Reserves,154,168,191
Borrowings +,127,100,94
Other Liabilities +,157,136,131
Total Liabilities,464,431,442
Fixed Assets +,86,91,93
CWIP,1,1,1
Investments,6,9,12
Other Assets +,371,331,337
Total Assets,464,431,442
