,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,7,7,7,7
Reserves,76,80,82,83,87,93,102,105
Borrowings +,52,58,124,128,138,147,178,190
Other Liabilities +,75,89,97,137,150,191,198,206
Total Liabilities,209,234,309,354,381,438,484,507
Fixed Assets +,73,100,157,148,144,136,130,125
CWIP,45,35,4,47,45,51,40,46
Investments,0,0,0,0,0,0,0,0
Other Assets +,91,98,149,158,192,252,313,337
Total Assets,209,234,309,354,381,438,484,507
