,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,64,64,64,64,64,64,64,64,64,64,64,64,64
Reserves,329,508,635,776,957,"1,157","1,260","1,410","1,678","1,830","1,694","1,750","1,223"
Borrowings +,76,0,0,0,0,0,0,0,0,"1,249","1,032","1,094","1,219"
Other Liabilities +,454,350,430,542,616,512,599,667,732,589,542,616,645
Total Liabilities,923,923,"1,130","1,382","1,637","1,733","1,923","2,141","2,474","3,732","3,332","3,525","3,151"
Fixed Assets +,157,221,243,248,309,304,268,296,317,"1,369","1,120","1,226","1,343"
CWIP,0,8,18,24,48,19,30,12,17,20,34,5,14
Investments,12,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,753,693,868,"1,110","1,280","1,410","1,625","1,833","2,140","2,343","2,179","2,294","1,795"
Total Assets,923,923,"1,130","1,382","1,637","1,733","1,923","2,141","2,474","3,732","3,332","3,525","3,151"
