,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,254","1,258","3,799","5,892","5,864"
Expenses +,969,"1,011","3,171","4,695","4,873"
Operating Profit,286,247,628,"1,197",992
OPM %,23%,20%,17%,20%,17%
Other Income +,12,8,484,57,-26
Interest,48,95,433,322,148
Depreciation,56,87,131,137,147
Profit before tax,193,72,547,796,670
Tax %,39%,36%,25%,18%,
Net Profit,118,46,410,649,548
EPS in Rs,14.81,6.88,30.59,41.03,34.64
