,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,1,1,1,1,2,12,12,12,12,12,12
Reserves,101,146,176,188,216,236,508,550,596,611,613,605
Borrowings +,0,42,50,45,54,80,7,18,73,57,80,82
Other Liabilities +,22,34,53,66,71,98,136,246,239,205,203,229
Total Liabilities,123,222,280,299,341,416,663,826,921,886,907,927
Fixed Assets +,63,125,143,158,168,205,268,526,588,558,550,571
CWIP,3,3,15,24,30,52,2,7,20,21,14,24
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,56,94,122,117,143,159,392,293,313,307,343,332
Total Assets,123,222,280,299,341,416,663,826,921,886,907,927
