,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,11.86,20.30,36.84,46.23,40.53,57.00,41.61,49.16
Expenses +,11.24,15.23,28.79,35.72,33.71,44.58,30.57,37.15
Operating Profit,0.62,5.07,8.05,10.51,6.82,12.42,11.04,12.01
OPM %,5.23%,24.98%,21.85%,22.73%,16.83%,21.79%,26.53%,24.43%
Other Income +,0.09,0.18,0.63,0.65,1.76,2.03,1.00,0.72
Interest,0.10,0.53,0.58,0.49,1.26,1.42,1.27,0.70
Depreciation,0.20,0.86,1.37,1.88,2.10,3.69,3.02,2.81
Profit before tax,0.41,3.86,6.73,8.79,5.22,9.34,7.75,9.22
Tax %,12.20%,20.98%,14.71%,16.50%,22.41%,12.42%,21.29%,
Net Profit,0.36,3.06,5.74,7.34,4.05,8.18,6.10,7.33
EPS in Rs,,,4.78,6.12,3.38,6.83,5.10,6.13
