,Mar 2011,Mar 2012,Mar 2013,Mar 2021,Mar 2022,TTM
Sales +,424,222,303,703,"1,098","1,625"
Expenses +,396,219,298,653,"1,023","1,518"
Operating Profit,28,3,5,50,75,107
OPM %,7%,1%,2%,7%,7%,7%
Other Income +,3,4,7,2,19,29
Interest,6,11,11,18,22,32
Depreciation,2,5,9,18,22,29
Profit before tax,23,-9,-9,15,49,75
Tax %,23%,-0%,43%,23%,24%,
Net Profit,18,-9,-5,12,37,57
EPS in Rs,,-5.25,-3.05,5.90,17.63,26.71
