,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"6,793","6,839","7,150","8,697","9,868"
Expenses +,"5,838","5,741","6,033","7,666","8,743"
Operating Profit,955,"1,099","1,117","1,031","1,125"
OPM %,14%,16%,16%,12%,11%
Other Income +,43,55,86,71,76
Interest,7,12,11,15,18
Depreciation,261,301,319,396,399
Profit before tax,730,841,873,691,783
Tax %,34%,21%,26%,26%,
Net Profit,483,661,647,513,577
EPS in Rs,28.29,38.69,37.87,30.01,33.81
