,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,197,240,226,304,208,211,333
Expenses +,169,201,184,238,176,186,304
Operating Profit,29,39,41,66,32,25,29
OPM %,14%,16%,18%,22%,15%,12%,9%
Other Income +,3,1,1,-10,3,3,5
Interest,8,4,7,13,14,14,12
Depreciation,3,3,4,4,4,4,4
Profit before tax,20,33,32,39,17,10,17
Tax %,36%,37%,30%,27%,27%,29%,
Net Profit,13,20,22,29,13,7,12
EPS in Rs,6.70,8.48,9.35,11.94,5.32,2.97,4.99
