,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,273,101,101,101,26,26,26,26,26,26,26,26,26
Reserves,"1,022","1,265","1,411","1,606","1,824","2,121","2,308","2,664","3,157","3,494","3,556","3,909","3,928"
Borrowings +,778,992,"1,301","1,232",836,806,594,312,211,252,262,10,12
Other Liabilities +,980,"1,005","1,002","1,033","1,198","1,413","1,550","1,721","1,989","1,778","2,008","2,004","2,020"
Total Liabilities,"2,805","3,288","3,740","3,898","3,885","4,366","4,479","4,723","5,384","5,551","5,852","5,949","5,986"
Fixed Assets +,"1,135","1,244","1,619","1,632","1,836","1,822","1,750","1,730","1,777","1,926","1,949","1,913","1,885"
CWIP,72,207,114,82,90,61,137,72,190,199,129,110,108
Investments,0,0,0,0,0,0,0,0,0,0,6,8,8
Other Assets +,"1,599","1,837","2,007","2,183","1,959","2,483","2,591","2,921","3,417","3,425","3,768","3,918","3,985"
Total Assets,"2,805","3,288","3,740","3,898","3,885","4,366","4,479","4,723","5,384","5,551","5,852","5,949","5,986"
