,Mar 2010,Mar 2011,Sep 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,34,34,34,34,34,34,34,34,34,34,34,34,34
Reserves,434,513,430,330,228,205,163,146,125,114,60,32,47
Borrowings +,620,587,295,700,625,705,723,669,720,"1,045","1,090","1,154",399
Other Liabilities +,531,547,"1,058",811,693,728,726,634,601,406,395,398,"1,262"
Total Liabilities,"1,619","1,682","1,817","1,875","1,579","1,672","1,646","1,483","1,480","1,600","1,578","1,619","1,743"
Fixed Assets +,498,444,374,323,267,258,248,239,234,227,223,218,216
CWIP,207,43,16,13,14,14,14,14,14,12,12,12,12
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,915,"1,194","1,428","1,539","1,298","1,400","1,384","1,230","1,233","1,361","1,344","1,388","1,515"
Total Assets,"1,619","1,682","1,817","1,875","1,579","1,672","1,646","1,483","1,480","1,600","1,578","1,619","1,743"
