,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,8,8,16,16,16,16,31,31,31,31,31
Reserves,189,225,251,300,349,401,505,570,635,675,848,"1,101","1,216"
Borrowings +,118,138,168,150,177,178,134,108,218,133,84,100,104
Other Liabilities +,165,184,196,231,264,266,292,321,338,292,415,476,439
Total Liabilities,480,554,622,689,806,860,947,"1,015","1,221","1,132","1,378","1,709","1,790"
Fixed Assets +,191,197,228,255,316,381,407,424,532,585,552,508,515
CWIP,4,3,3,9,37,10,14,27,37,9,6,15,10
Investments,14,14,19,17,18,19,60,54,55,20,63,104,139
Other Assets +,271,341,372,408,436,451,466,510,597,518,757,"1,082","1,127"
Total Assets,480,554,622,689,806,860,947,"1,015","1,221","1,132","1,378","1,709","1,790"
