,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,32,34,34,34,34,34,34,68,102,102,102,102,102
Reserves,"1,693","2,770","3,279","3,741","4,277","4,233","5,268","6,190","7,165","7,796","9,337","11,454","12,576"
Borrowings +,"2,001","1,877","2,456","2,373","2,717","2,891","4,001","3,508","3,382","3,575","1,864","1,704","1,164"
Other Liabilities +,764,"1,317","1,926","2,171","2,097","2,521","3,637","4,098","3,445","3,407","2,941","2,822","2,684"
Total Liabilities,"4,490","5,998","7,695","8,320","9,125","9,679","12,940","13,864","14,094","14,880","14,244","16,082","16,527"
Fixed Assets +,"3,078","3,692","4,496","5,121","5,551","5,931","8,083","8,315","8,670","9,231","8,905","9,219","9,701"
CWIP,8,38,141,167,225,44,97,84,52,57,57,116,166
Investments,-0,-0,121,136,186,190,934,997,516,672,679,"1,015","1,701"
Other Assets +,"1,404","2,269","2,937","2,895","3,164","3,514","3,826","4,468","4,855","4,920","4,602","5,731","4,959"
Total Assets,"4,490","5,998","7,695","8,320","9,125","9,679","12,940","13,864","14,094","14,880","14,244","16,082","16,527"
