,Mar 2006,Mar 2007,Mar 2013,Mar 2014,Mar 2015
Share Capital +,7,7,9,9,9
Reserves,22,23,42,48,59
Borrowings +,36,35,64,92,45
Other Liabilities +,21,20,50,43,58
Total Liabilities,86,84,165,191,170
Fixed Assets +,32,35,89,98,94
CWIP,3,2,8,0,2
Investments,2,-0,4,4,3
Other Assets +,49,47,65,89,71
Total Assets,86,84,165,191,170
