,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,136,206,263,300,434,382
Expenses +,113,172,208,234,325,309
Operating Profit,23,34,55,67,109,72
OPM %,17%,17%,21%,22%,25%,19%
Other Income +,1,1,1,5,9,8
Interest,3,4,4,4,5,5
Depreciation,3,4,5,7,8,9
Profit before tax,19,27,48,61,104,67
Tax %,35%,25%,21%,14%,8%,
Net Profit,12,21,38,52,96,57
EPS in Rs,15.30,25.56,47.03,26.02,43.25,25.82
