,Mar 2009,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,882","3,842","3,873","2,904","2,646","2,653","3,606","3,754"
Expenses +,"3,319","3,844","3,943","2,872","2,417","2,278","3,094","3,494"
Operating Profit,562,-3,-70,32,229,375,512,260
OPM %,14%,-0%,-2%,1%,9%,14%,14%,7%
Other Income +,80,172,79,57,40,-148,14,-131
Interest,121,283,443,357,344,276,502,451
Depreciation,112,136,146,108,113,118,112,105
Profit before tax,409,-250,-580,-375,-188,-167,-87,-426
Tax %,7%,3%,0%,3%,0%,184%,11%,
Net Profit,379,-242,-578,-363,-188,140,-77,-214
EPS in Rs,23.23,-13.90,-28.31,-17.15,-8.85,5.72,-3.18,-7.85
