,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11
Reserves,"1,529","1,361","1,230"
Borrowings +,"1,306","1,758","1,863"
Other Liabilities +,"2,782","3,028","3,042"
Total Liabilities,"5,628","6,158","6,146"
Fixed Assets +,"1,262","1,397","1,459"
CWIP,309,188,174
Investments,33,33,0
Other Assets +,"4,024","4,541","4,512"
Total Assets,"5,628","6,158","6,146"
