,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,29,37,49,58,66,87,92
Expenses +,24,30,40,47,56,75,79
Operating Profit,5,8,9,11,10,12,13
OPM %,16%,20%,18%,19%,16%,14%,14%
Other Income +,2,3,3,2,2,6,5
Interest,1,1,1,1,1,0,0
Depreciation,2,2,5,4,4,5,5
Profit before tax,3,7,6,8,8,12,13
Tax %,26%,27%,29%,16%,23%,18%,
Net Profit,2,5,4,7,6,10,10
EPS in Rs,0.92,2.03,0.33,0.54,0.47,0.77,0.80
