,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,0,17,27,71,98,98,98,98,98,98
Reserves,113,220,291,280,548,591,633,682,373,392
Borrowings +,285,271,295,412,158,358,207,0,0,0
Other Liabilities +,81,80,118,100,75,102,105,675,"2,294","2,405"
Total Liabilities,479,575,707,864,878,"1,149","1,043","1,455","2,765","2,894"
Fixed Assets +,263,303,319,306,413,415,443,0,2,3
CWIP,41,39,92,159,24,27,11,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets +,175,233,296,399,441,707,589,"1,455","2,763","2,891"
Total Assets,479,575,707,864,878,"1,149","1,043","1,455","2,765","2,894"
