,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,51,51,51,51,51,51,51,51,51,51,51,51,51
Reserves,"1,034","1,270","1,600","1,901","2,219","2,587","3,420","3,523","4,097","4,405","5,542","6,353","6,552"
Borrowings +,336,321,111,46,58,80,98,125,113,288,331,416,680
Other Liabilities +,622,722,853,930,986,996,"1,202","1,500","1,643","1,779","2,890","2,675","2,715"
Total Liabilities,"2,043","2,364","2,616","2,928","3,315","3,714","4,770","5,199","5,904","6,523","8,814","9,494","9,998"
Fixed Assets +,564,618,646,729,978,"1,137","1,275","1,342","1,448","1,807","4,418","4,703","4,790"
CWIP,344,394,428,458,462,158,148,228,242,259,294,225,225
Investments,170,98,294,260,370,706,"1,443","1,246","1,548","1,186",516,459,447
Other Assets +,965,"1,255","1,248","1,481","1,505","1,713","1,904","2,383","2,666","3,270","3,586","4,107","4,536"
Total Assets,"2,043","2,364","2,616","2,928","3,315","3,714","4,770","5,199","5,904","6,523","8,814","9,494","9,998"
