,Mar 2013
Sales +,92.55
Expenses +,82.08
Operating Profit,10.47
OPM %,11.31%
Other Income +,-0.78
Interest,2.98
Depreciation,3.13
Profit before tax,3.58
Tax %,27.93%
Net Profit,2.58
EPS in Rs,0.52
