,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,6,6,6,6,6,6,11,11,11,11,11
Reserves,19,22,23,25,27,21,22,18,43,32,26,44,32
Borrowings +,19,16,15,17,29,38,36,45,57,62,67,47,39
Other Liabilities +,6,7,8,10,13,13,20,23,34,32,33,27,25
Total Liabilities,49,50,52,58,76,79,84,92,140,137,137,130,107
Fixed Assets +,28,28,28,27,38,42,45,46,59,64,60,46,51
CWIP,0,1,1,1,4,1,0,0,5,0,0,5,0
Investments,0,0,0,0,0,0,0,0,6,2,1,3,7
Other Assets +,21,21,24,30,34,36,39,47,70,71,76,76,50
Total Assets,49,50,52,58,76,79,84,92,140,137,137,130,107
