,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,3.27,4.92,11.96,15.66,20.92,32.39,22.57,26.68,32.31
Expenses +,3.08,4.40,10.13,12.95,19.59,29.70,28.46,28.44,35.46
Operating Profit,0.19,0.52,1.83,2.71,1.33,2.69,-5.89,-1.76,-3.15
OPM %,5.81%,10.57%,15.30%,17.31%,6.36%,8.31%,-26.10%,-6.60%,-9.75%
Other Income +,0.01,-0.00,0.06,-0.12,0.30,0.04,0.19,0.20,0.15
Interest,0.05,0.05,0.04,0.09,0.03,0.07,0.01,0.01,0.00
Depreciation,0.12,0.15,0.27,0.38,0.71,0.81,0.83,0.81,0.88
Profit before tax,0.03,0.32,1.58,2.12,0.89,1.85,-6.54,-2.38,-3.88
Tax %,133.33%,9.38%,7.59%,11.79%,24.72%,37.84%,16.67%,9.24%,
Net Profit,-0.02,0.29,1.46,1.86,0.67,1.15,-5.45,-2.16,-3.31
EPS in Rs,-0.50,3.22,12.08,1.86,0.69,1.13,-5.34,-2.12,-3.24
