,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,13,13,13,13,13,13,13,13,13,13,13
Reserves,6,11,-12,-3,3,83,92,102,118,144,765
Borrowings +,0,53,162,182,182,170,192,182,151,115,68
Other Liabilities +,15,43,58,63,70,112,89,95,142,171,190
Total Liabilities,34,120,221,255,268,379,386,392,424,443,"1,036"
Fixed Assets +,2,19,186,215,222,321,323,326,323,326,914
CWIP,5,72,5,7,4,1,1,1,1,2,4
Investments,2,2,0,0,0,0,0,0,0,0,0
Other Assets +,25,27,30,34,42,56,62,65,100,116,118
Total Assets,34,120,221,255,268,379,386,392,424,443,"1,036"
