,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,16,16,16,16,16,17,19,20,20,20
Reserves,192,180,159,162,170,213,223,247,338,397,469,511
Borrowings +,220,177,219,228,232,213,237,210,268,202,530,664
Other Liabilities +,204,228,227,260,193,209,237,268,330,357,492,601
Total Liabilities,631,600,621,665,611,651,713,742,955,976,"1,510","1,795"
Fixed Assets +,192,172,182,176,167,163,158,141,191,220,238,248
CWIP,16,11,18,12,6,7,5,21,42,36,116,188
Investments,4,4,9,12,13,9,9,14,15,16,13,13
Other Assets +,419,413,411,466,426,473,541,566,707,704,"1,143","1,346"
Total Assets,631,600,621,665,611,651,713,742,955,976,"1,510","1,795"
