,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,590,698,773,"1,094","1,352"
Expenses +,535,601,582,836,"1,014"
Operating Profit,55,97,191,258,338
OPM %,9%,14%,25%,24%,25%
Other Income +,-1,5,24,31,16
Interest,16,8,6,10,16
Depreciation,25,20,23,33,38
Profit before tax,13,74,186,246,301
Tax %,-9%,3%,13%,26%,
Net Profit,14,72,162,181,225
EPS in Rs,,,11.06,12.34,15.36
