,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,13,13,13,13,13,6,6,6,6,6,6,6
Reserves,217,201,198,205,207,208,97,109,116,117,120,131,133
Borrowings +,57,93,86,110,123,102,76,46,114,66,155,179,168
Other Liabilities +,28,10,11,10,8,13,14,5,6,14,21,35,31
Total Liabilities,315,317,308,338,351,336,193,166,241,203,302,351,338
Fixed Assets +,174,179,176,206,206,206,72,63,77,81,81,77,77
CWIP,2,0,17,1,1,1,0,0,0,0,0,0,0
Investments,17,8,19,28,29,26,0,0,0,0,0,0,0
Other Assets +,122,130,96,104,115,104,121,103,164,122,221,275,262
Total Assets,315,317,308,338,351,336,193,166,241,203,302,351,338
