,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,23.50,24.88,26.25,26.25,29.20,29.20,32.00,32.00,32.00,32.00,32.00,32.00,32.00
Reserves,102.27,123.97,145.71,158.23,190.32,228.45,354.32,424.88,361.96,364.03,379.04,381.51,366.57
Borrowings +,39.72,101.40,87.49,111.77,114.12,264.56,273.97,243.98,34.91,3.34,2.93,7.21,34.87
Other Liabilities +,30.31,62.39,40.82,62.31,50.37,112.35,90.19,141.33,27.98,87.94,76.45,153.72,152.17
Total Liabilities,195.80,312.64,300.27,358.56,384.01,634.56,750.48,842.19,456.85,487.31,490.42,574.44,585.61
Fixed Assets +,107.07,140.55,197.36,237.81,270.87,373.34,518.63,509.34,320.13,323.39,323.46,322.27,322.11
CWIP,35.41,96.08,49.84,51.47,50.01,125.10,73.08,47.24,68.24,107.02,126.31,168.76,177.78
Investments,4.71,4.90,3.84,4.29,1.20,4.08,28.21,95.70,0.01,0.00,0.00,0.00,0.00
Other Assets +,48.61,71.11,49.23,64.99,61.93,132.04,130.56,189.91,68.47,56.90,40.65,83.41,85.72
Total Assets,195.80,312.64,300.27,358.56,384.01,634.56,750.48,842.19,456.85,487.31,490.42,574.44,585.61
