,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales +,"1,460","2,860","3,476","5,840","10,121","12,973","11,492",311
Expenses +,"1,355","2,731","3,267","5,484","9,581","12,310","11,200",266
Operating Profit,104,129,208,357,540,663,292,45
OPM %,7%,5%,6%,6%,5%,5%,3%,15%
Other Income +,13,82,53,72,90,107,"-1,475",103
Interest,26,75,85,124,136,238,334,360
Depreciation,2,2,3,7,29,90,86,76
Profit before tax,90,135,173,298,465,441,"-1,603",-288
Tax %,2%,1%,4%,1%,1%,-5%,24%,-178%
Net Profit,89,134,167,295,461,463,"-1,215",-802
EPS in Rs,,,,48.50,75.97,72.33,-166.55,-109.59
