,Mar 2008,Mar 2009,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales +,27.03,19.47,46.24,83.76,93.36,82.32
Expenses +,24.04,18.58,42.82,75.41,84.68,75.40
Operating Profit,2.99,0.89,3.42,8.35,8.68,6.92
OPM %,11.06%,4.57%,7.40%,9.97%,9.30%,8.41%
Other Income +,1.45,1.18,1.01,0.23,0.33,0.89
Interest,1.75,1.65,2.19,2.55,3.97,4.54
Depreciation,0.69,0.73,0.73,1.29,1.25,1.54
Profit before tax,2.00,-0.31,1.51,4.74,3.79,1.73
Tax %,29.00%,35.48%,33.11%,33.12%,28.50%,32.37%
Net Profit,1.42,-0.20,1.02,3.17,2.70,1.17
EPS in Rs,0.33,-0.05,0.17,0.50,0.41,0.14
