,Mar 2012,Mar 2013,Mar 2014
Sales +,480,521,421
Expenses +,375,415,364
Operating Profit,105,106,57
OPM %,22%,20%,14%
Other Income +,2,-40,8
Interest,29,43,43
Depreciation,16,20,20
Profit before tax,63,3,1
Tax %,35%,84%,55%
Net Profit,41,0,0
EPS in Rs,29.52,0.31,0.15
