,Mar 2020
Sales +,38.97
Expenses +,37.18
Operating Profit,1.79
OPM %,4.59%
Other Income +,1.60
Interest,2.99
Depreciation,1.44
Profit before tax,-1.04
Tax %,-3.85%
Net Profit,-1.09
EPS in Rs,-1.99
