,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,14,14,14,14,14,14,16
Reserves,115,139,160,178,184,227,423
Borrowings +,29,54,98,112,118,108,44
Other Liabilities +,46,39,41,51,48,88,92
Total Liabilities,204,246,314,355,363,436,574
Fixed Assets +,81,108,133,191,202,239,262
CWIP,9,10,15,16,12,12,15
Investments,3,11,10,10,7,9,17
Other Assets +,111,117,156,138,142,177,281
Total Assets,204,246,314,355,363,436,574
