,Mar 2020
Share Capital +,5.57
Reserves,44.61
Borrowings +,21.51
Other Liabilities +,12.10
Total Liabilities,83.79
Fixed Assets +,17.09
CWIP,0.00
Investments,0.00
Other Assets +,66.70
Total Assets,83.79
