,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,168,168,168,168,168,168,337,316,316,316,281,281,281
Reserves,"1,321","1,730","2,127","2,353","2,463","2,653","2,508","2,025","2,029","2,090","1,470","1,489","1,571"
Borrowings +,0,0,0,0,0,0,0,0,0,5,4,4,22
Other Liabilities +,"2,032","1,905","1,612","1,295","1,356","1,342","1,551","2,173","2,416","2,685","2,687","2,404","2,435"
Total Liabilities,"3,522","3,804","3,907","3,817","3,988","4,164","4,396","4,514","4,761","5,096","4,441","4,177","4,310"
Fixed Assets +,63,56,54,121,272,242,272,257,248,274,263,263,278
CWIP,13,52,136,132,19,24,56,52,52,3,1,7,16
Investments,513,629,647,732,138,75,533,242,315,461,"1,324","1,088","1,042"
Other Assets +,"2,933","3,067","3,071","2,832","3,559","3,822","3,535","3,963","4,146","4,359","2,853","2,821","2,974"
Total Assets,"3,522","3,804","3,907","3,817","3,988","4,164","4,396","4,514","4,761","5,096","4,441","4,177","4,310"
