,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,"1,032","1,032","1,032","1,032","1,244","1,244","1,244","1,383","1,383","1,383","1,383","1,383","1,383"
Reserves,"39,467","35,264","32,818","31,764","36,692","30,730","27,325","1,400","-5,563","-49,539","-55,289","-61,956","-65,449"
Borrowings +,"39,071","38,303","41,547","41,978","39,828","46,912","49,061","47,234","48,583","45,584","45,577","45,572","45,572"
Other Liabilities +,"15,153","17,666","14,785","14,477","13,520","22,640","18,431","22,044","23,126","50,564","56,145","62,538","66,173"
Total Liabilities,"94,723","92,265","90,182","89,251","91,284","101,526","96,061","72,061","67,529","47,992","47,816","47,537","47,679"
Fixed Assets +,"59,498","71,461","70,513","68,553","65,037","69,712","70,843","20,839","9,707","3,713","3,561","3,453","3,391"
CWIP,"16,600","5,026","3,864","3,190","2,688","9,840","2,890",265,195,193,196,158,157
Investments,570,652,662,723,"1,395",30,32,32,"12,033",55,57,50,53
Other Assets +,"18,055","15,126","15,143","16,785","22,164","21,944","22,296","50,925","45,594","44,031","44,002","43,876","44,078"
Total Assets,"94,723","92,265","90,182","89,251","91,284","101,526","96,061","72,061","67,529","47,992","47,816","47,537","47,679"
