,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,46,46,47,47,47,47,47,47,47
Reserves,-0,501,563,846,"1,427","1,806","2,224","2,924","4,862","5,425"
Borrowings +,-0,"1,053","2,007","3,514","2,935","2,367","2,181","1,502","1,845","1,564"
Other Liabilities +,-0,"4,639","2,917","2,270","2,347","2,273","2,132","2,565","3,113","3,235"
Total Liabilities,0,"6,192","5,533","6,678","6,756","6,493","6,584","7,037","9,867","10,270"
Fixed Assets +,-0,"2,801","2,546","2,430","2,290","2,190","2,108","1,961","1,968","2,015"
CWIP,-0,29,61,42,66,95,107,183,161,127
Investments,-0,370,369,418,571,622,647,798,"1,339","1,535"
Other Assets +,0,"2,992","2,558","3,787","3,829","3,587","3,722","4,095","6,399","6,594"
Total Assets,0,"6,192","5,533","6,678","6,756","6,493","6,584","7,037","9,867","10,270"
