,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,265,313,642,852
Expenses +,243,288,591,774
Operating Profit,22,25,50,78
OPM %,8%,8%,8%,9%
Other Income +,1,1,2,4
Interest,3,3,3,6
Depreciation,9,10,10,12
Profit before tax,11,13,40,65
Tax %,26%,26%,27%,
Net Profit,8,10,29,49
EPS in Rs,1.33,1.61,4.80,8.14
