,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,313,318,262,194,322,299
Expenses +,149,165,136,113,205,193
Operating Profit,164,153,126,81,116,107
OPM %,52%,48%,48%,42%,36%,36%
Other Income +,3,2,3,6,3,14
Interest,12,12,11,9,5,3
Depreciation,103,98,90,88,24,25
Profit before tax,52,44,28,-10,91,93
Tax %,96%,69%,-10%,744%,20%,
Net Profit,2,14,31,65,72,70
EPS in Rs,,,,20.24,22.54,21.95
