,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,40,40,40,40,80,80,80,80,79,76,76,76,76
Reserves,707,801,978,"1,182","1,326","1,578","1,819","2,047","2,266","2,309","2,719","3,292","3,448"
Borrowings +,0,1,1,3,4,3,3,2,2,71,98,578,752
Other Liabilities +,163,180,247,318,365,459,433,514,509,635,771,"1,468","1,935"
Total Liabilities,910,"1,021","1,267","1,543","1,775","2,120","2,335","2,644","2,856","3,092","3,666","5,414","6,211"
Fixed Assets +,226,320,350,408,408,437,536,512,401,432,457,"1,534","2,165"
CWIP,55,53,117,31,4,27,29,5,32,30,12,107,116
Investments,250,204,329,489,674,638,684,880,764,979,"1,000",822,653
Other Assets +,379,445,471,615,689,"1,018","1,086","1,247","1,659","1,652","2,197","2,951","3,277"
Total Assets,910,"1,021","1,267","1,543","1,775","2,120","2,335","2,644","2,856","3,092","3,666","5,414","6,211"
