,Mar 2010,Mar 2011
Share Capital +,10,10
Reserves,81,67
Borrowings +,281,377
Other Liabilities +,440,402
Total Liabilities,812,857
Fixed Assets +,139,144
CWIP,0,2
Investments,0,0
Other Assets +,673,710
Total Assets,812,857
