,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,993","4,370","4,608","5,599","6,670","7,114"
Expenses +,"1,776","3,981","4,204","4,895","5,783","6,206"
Operating Profit,217,389,405,704,887,908
OPM %,11%,9%,9%,13%,13%,13%
Other Income +,12,21,36,-53,122,234
Interest,28,61,102,107,209,419
Depreciation,44,95,225,249,291,304
Profit before tax,157,254,114,294,508,419
Tax %,-4%,8%,33%,80%,33%,
Net Profit,164,235,76,58,339,259
EPS in Rs,,24.20,-25.63,-36.09,49.31,34.94
