,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,14,14,14,14,14,14,14
Reserves,338,409,458,574,605,674,705,793,818,696,814,967,916
Borrowings +,127,147,214,172,36,36,38,34,40,92,14,115,359
Other Liabilities +,148,153,168,183,164,232,211,356,322,287,344,405,617
Total Liabilities,628,724,854,944,819,956,969,"1,197","1,195","1,089","1,187","1,502","1,906"
Fixed Assets +,141,201,232,243,227,221,192,191,184,193,190,297,296
CWIP,0,3,9,12,11,3,4,13,13,3,1,15,20
Investments,3,39,62,71,1,1,91,24,69,9,1,1,0
Other Assets +,484,480,551,618,581,731,682,969,929,883,995,"1,190","1,590"
Total Assets,628,724,854,944,819,956,969,"1,197","1,195","1,089","1,187","1,502","1,906"
