,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,29,31,31,31,31,31,31,31,31,31,31,31,31
Reserves,442,513,546,565,600,612,865,821,846,834,892,"1,120","1,042"
Borrowings +,116,136,185,198,368,401,675,542,491,267,232,167,72
Other Liabilities +,307,357,383,392,517,486,394,384,418,367,309,215,149
Total Liabilities,883,"1,026","1,135","1,175","1,516","1,531","1,966","1,779","1,787","1,500","1,464","1,535","1,294"
Fixed Assets +,444,485,543,537,726,860,836,752,776,756,716,541,528
CWIP,15,39,2,18,39,33,10,15,14,29,22,20,22
Investments,62,49,74,141,181,195,349,281,329,188,286,505,306
Other Assets +,361,453,516,479,571,443,771,732,668,528,440,469,439
Total Assets,883,"1,026","1,135","1,175","1,516","1,531","1,966","1,779","1,787","1,500","1,464","1,535","1,294"
